ProductName,Description,Product Image,Product Cateogy Name,Model Number,Serial Number,StockLevel,ReorderPoint,Supplier Name,Supplier Mail,Supplier  Contact,Order Date,Quantity,Order Status,Year,Month,Day,Day Name,Month Name,Valid Supplier Email
DOCSIS 3.1 Cable Modem (CM1200) ,A Nighthawk Multi-Gig Cable Modem,No Image Available,Modem,MKL922,43ae21bc-d86e-46a0-bfcc-cd1342de2350,400,75,Netgear,Neger@mail.com,9256476541,2023-08-11,400,Deliverd,2023,8,11,Friday,August,True
CMOS 50G Serial Mux,A serial multiplex/demultiplex  chipset that is CMOS-based,No Image Available,Multiplexer,DCM124,37999055-85d7-4604-8f9f-2e54cffe29d1,300,100,Broadcom,brcom@mail.com,1759731673,2023-04-12,300,Deliverd,2023,4,12,Wednesday,April,True
DOCSIS 3.0 24x8 Cable Modem (CM700),A NETGEAR High Speed 960Mbps Cable Modem,No Image Available,Modem,KHN835,2899ba7c-9f25-4d39-9393-95f42db0cdbe,200,50,Netgear,Neger@mail.com,9256476542,2023-09-28,200,Deliverd,2023,9,28,Thursday,September,True
ETL-700  Combiner,A two-way combiner,No Image Available,Combiner,CMB355,9fee289e-c0a6-4772-a8eb-d3563bc59601,300,75,Synergy,synerg@mail.com,7865434961,2023-07-29,300,Deliverd,2023,7,29,Saturday,July,True
CISCO IR530,Provides enterprise-class RF mesh connectivity,No Image Available,Router,XYZ125,4e787e51-9f7c-44f9-8e70-4196d5f36bb9,500,150,Cisco,abcd@mail.com,1234567890,2023-02-15,500,Deliverd,2023,2,15,Wednesday,February,True
HP JG540A,48 Port Ethernet Smart Managed Switch,No Image Available,Switch,ABC458,2c69b480-641b-4979-b2ca-c8bbeaf36d4f,300,100,HP,abhp@mail.com,1980762345,2023-12-05,300,Deliverd,2023,12,5,Tuesday,December,True
DOCSIS 4.0 Cable Modem,Superfast speeds up to 10 gigabits per second (Gbps),modem.jpg,Modem,LMN791,58dea32c-71ff-4503-a18e-d9f88dcd8f52,200,50,Netgear,Neger@mail.com,9256476541,2023-05-06,200,Deliverd,2023,5,6,Saturday,May,True
Cellular Duplexer Tx,A multiplexer product that is RoHS6 compliant ,No Image Available,Multiplexer,DSC425,720039b1-287e-4a4e-b1c5-d3748883c956,200,50,Broadcom,brcom@mail.com,1759731673,2023-07-16,200,Deliverd,2023,7,16,Sunday,July,True
SBB200 Splitter Trough Block, Splitter block constructed with copper-aluminium ,splitter.jpg,Splitter,BGH680,3970656c-a293-4b57-8135-8bb4c453930c,400,75,BELL,blee@mail.com,1256476893,2023-03-06,400,Deliverd,2023,3,6,Monday,March,True
Proximity  Smart Card,A contactless smart card ,card.jpg,Card,DCH989,65d403cc-e9f5-4a00-a9b5-611a01197221,500,150,Cardcom,cdcom@mail.com,1314732575,2023-04-06,500,Deliverd,2023,4,6,Thursday,April,True
DOCSIS 4.0 16x4 (CM500),A High Speed Cable Modem,No Image Available,Modem,VBN699,e27bca53-f8aa-4ccb-9acf-525a420f0e1f,300,100,Netgear,Neger@mail.com,9256476541,2023-12-23,300,Deliverd,2023,12,23,Saturday,December,True
DOCSIS 4.1 Cable Modem (CM1100) ,A Nighthawk Multi-Gig Cable Modem,No Image Available,Modem,MKL923,42b0ea31-8b6b-4f8f-a5d0-e79ac9ef51e5,400,75,Netgear,Neger@mail.com,9256476541,2023-09-21,400,Deliverd,2023,9,21,Thursday,September,True
CMOS 10G Serial Mux,A serial multiplex/demultiplex  chipset that is CMOS-based,No Image Available,Multiplexer,DCM125,891e1ae5-e986-404b-9adb-b02835fcbc3a,300,100,Broadcom,brcom@mail.com,1759731674,2023-01-12,300,Deliverd,2023,1,12,Thursday,January,True
DOCSIS 4.0 24x8 Cable Modem (CM600),A NETGEAR High Speed 960Mbps Cable Modem,No Image Available,Modem,KHN836,bef137c6-3495-41ff-bc8b-1faf3886fbf9,200,50,Netgear,Neger@mail.com,9256476541,2023-11-18,200,Deliverd,2023,11,18,Saturday,November,True
ETL-2200  Combiner,A two-way combiner,No Image Available,Combiner,CMB356,16316828-f5b6-4ce1-90ce-22a30f63d1ae,300,75,Synergy,synerg@mail.com,7865434960,2023-10-19,300,Deliverd,2023,10,19,Thursday,October,True
Cisco IR510,Wireless personal area network Router,No Image Available,Router,XYZ126,57e605a3-70f7-4af7-8c7b-9eb666fc2b78,500,150,Cisco,abcd@mail.com,1234567890,2023-03-15,500,Deliverd,2023,3,15,Wednesday,March,True
HP JG539A,"Fast Ethernet web managed ""smart"" switch",No Image Available,Switch,ABC459,654aaca2-3759-41a7-a263-bb1d8e7f61ef,400,100,HP,abhp@mail.com,1980762345,2023-12-05,400,Deliverd,2023,12,5,Tuesday,December,True
DOCSIS 4.1 Cable Modem,A High Speed Cable Modem,modem.jpg,Modem,LMN792,1059b6ed-4bbf-4f5f-91a3-bb5a0ad3c38c,200,50,Netgear,Neger@mail.com,9256476541,2023-08-16,200,Deliverd,2023,8,16,Wednesday,August,True
WR70 Duplexer,RF waveguide duplexer ,No Image Available,Multiplexer,DSC426,18ba494e-d197-45de-9e80-094effa33e82,200,50,Broadcom,brcom@mail.com,1759731673,2023-05-16,200,Deliverd,2023,5,16,Tuesday,May,True
Optical Splitter,Integrated waveguide optical power distribution device,splitter.jpg,Splitter,BGH681,2e4af4d4-ba7c-4967-8b39-1ff8c994c8e2,400,75,BELL,blee@mail.com,1256476894,2023-10-26,400,Deliverd,2023,10,26,Thursday,October,True
UHF RFID Card,Radio-Frequency Identification Card,card.jpg,Card,DCH990,753b4103-f723-474f-93e6-efedc89ed23d,500,150,Cardcom,cdcom@mail.com,1314732576,2023-06-16,500,Deliverd,2023,6,16,Friday,June,True
DOCSIS 4.0 16x4 (CM501),A High Speed Cable Modem,No Image Available,Modem,VBN700,ae324390-2938-4f47-926f-f6a9be0027ef,300,100,Netgear,Neger@mail.com,9256476541,2023-07-19,300,Deliverd,2023,7,19,Wednesday,July,True
DOCSIS 4.1 Cable Modem (CM1200) ,A Nighthawk Multi-Gig Cable Modem,No Image Available,Modem,MKL924,961b9854-2bee-44de-9d48-5e6229e7f71e,400,75,Netgear,Neger@mail.com,9256476541,2023-08-12,400,Deliverd,2023,8,12,Saturday,August,True
CMOS 20G Serial Mux,A serial multiplex/demultiplex  chipset that is CMOS-based,No Image Available,Multiplexer,DCM126,0a89e834-c733-4ec0-a808-00510da661a9,300,100,Broadcom,brcom@mail.com,1759731673,2023-05-12,300,Deliverd,2023,5,12,Friday,May,True
DOCSIS 4.0 24x8 Cable Modem (CM700),A NETGEAR High Speed 960Mbps Cable Modem,No Image Available,Modem,KHN837,db986872-e13b-4c15-9700-efe2910a568c,200,50,Netgear,Neger@mail.com,9256476542,2023-06-28,200,Deliverd,2023,6,28,Wednesday,June,True
ETL-1100  Combiner,A two-way combiner,No Image Available,Combiner,CMB357,dc75187b-ad1f-4bdf-a22d-880a248490ed,300,75,Synergy,synerg@mail.com,7865434961,2023-12-29,300,Deliverd,2023,12,29,Friday,December,True
Cisco IR921,4-port GbE Integrated Security Router,No Image Available,Router,XYZ127,003bc53f-207d-44a1-99c2-99403dc273d6,500,150,Cisco,abcd@mail.com,1234567890,2023-06-05,500,Deliverd,2023,6,5,Monday,June,True
HP JG537A,HPE OfficeConnect 1910 8 PoE+ Switch,No Image Available,Switch,ABC460,cca52bf1-e822-493d-a024-d4b17d6a6a57,400,100,HP,abhp@mail.com,1980762345,2023-01-15,400,Deliverd,2023,1,15,Sunday,January,True
4G LTE Modem ,4G LTE speeds up to 150 Mbps downloads and 50 Mbps uploads,modem.jpg,Modem,LMN793,c7a6d5b4-93a3-4843-b40f-622331c498ff,200,50,Netgear,Neger@mail.com,9256476541,2023-03-06,200,Deliverd,2023,3,6,Monday,March,True
Cellular Duplexer Rx (MHz),RX cellular duplexer ,No Image Available,Multiplexer,DSC427,672f2c6f-4198-4074-92bf-eb8a617d454f,200,50,Broadcom,brcom@mail.com,1759731673,2023-05-26,200,Deliverd,2023,5,26,Friday,May,True
SBB100 Splitter Trough,Standard splitter,splitter.jpg,Splitter,BGH682,e0d5c880-ab45-47b6-978a-cd903297b5bd,400,75,BELL,blee@mail.com,1256476894,2023-02-06,400,Deliverd,2023,2,6,Monday,February,True
HID Proximity Card ,Radio-Frequency Identification Card,card.jpg,Card,DCH991,6bdf766d-c589-4cbd-8704-84e351ca94f5,500,150,Cardcom,cdcom@mail.com,1314732576,2023-02-16,500,Deliverd,2023,2,16,Thursday,February,True
DOCSIS 3.0 16x4 (CM600),A High Speed Cable Modem,No Image Available,Modem,VBN701,b31c6122-f02e-48a2-9c03-e9708026d7fb,300,100,Netgear,Neger@mail.com,9256476541,2023-05-09,300,Deliverd,2023,5,9,Tuesday,May,True
DOCSIS 3.1 Cable Modem (CM600) ,A Nighthawk Multi-Gig Cable Modem,No Image Available,Modem,MKL925,0e27794e-01ba-47d9-b3c4-c41470fe71bd,400,75,Netgear,Neger@mail.com,9256476541,2023-08-10,400,Deliverd,2023,8,10,Thursday,August,True
CMOS 5G Serial Mux,A serial multiplex/demultiplex  chipset that is CMOS-based,No Image Available,Multiplexer,DCM127,b22ca6d0-8833-41cd-b5cf-7c42f2ccfe1e,300,100,Broadcom,brcom@mail.com,1759731673,2023-04-19,300,Deliverd,2023,4,19,Wednesday,April,True
DOCSIS 3.0 24x8 Cable Modem (CM500),A NETGEAR High Speed 960Mbps Cable Modem,No Image Available,Modem,KHN838,710cd4b9-2b9c-4d7b-85c6-9df4fa1f7a81,200,50,Netgear,Neger@mail.com,9256476542,2023-08-18,200,Deliverd,2023,8,18,Friday,August,True
ETL-1200  Combiner,A two-way combiner,No Image Available,Combiner,CMB358,11de01f5-a09d-45c9-9d7d-4bc2789ea78e,300,75,Synergy,synerg@mail.com,7865434961,2023-03-29,300,Deliverd,2023,3,29,Wednesday,March,True
N600 WiFi Cable Modem,N600 Dual Band WiFi—300+300 Mbps,modem.jpg,Modem,LMN794,6aa51c7b-0b6e-47c3-950c-51bff302f530,200,50,Netgear,Neger@mail.com,9256476542,2023-05-26,200,Deliverd,2023,5,26,Friday,May,True
Cisco IR1800,High performance modular router,No Image Available,Router,XYZ128,04d6173e-cda0-4212-aee7-faf5c25382dd,500,150,Cisco,abcd@mail.com,1234567890,2023-01-15,500,Deliverd,2023,1,15,Sunday,January,True
HP JG543A,HPE OfficeConnect 1910 8 PoE+ Switch,No Image Available,Switch,ABC461,7c571302-62e5-4d69-b0ee-61eb2b172a07,400,100,HP,abhp@mail.com,1980762345,2023-06-05,400,Deliverd,2023,6,5,Monday,June,True
C3700 Wi-Fi Cable Modem,Wifi Cable Modem,modem.jpg,Modem,DSC428,407586ef-e0ab-40a4-b424-da8dd152fa66,200,50,Netgear,Neger@mail.com,9256476541,2023-08-06,200,Deliverd,2023,8,6,Sunday,August,True
Cellular Duplexer Tx (MHz),TX cellular duplexer ,No Image Available,Multiplexer,BGH683,50fd7c74-62b1-4ac4-9956-0176d7d47761,200,50,Broadcom,brcom@mail.com,1759731673,2023-05-02,200,Deliverd,2023,5,2,Tuesday,May,True
BEL T4404 T Series Splitter Trough,Standard splitter,splitter.jpg,Splitter,DCH992,efe79028-f929-4b30-a112-f091ee142150,400,75,BELL,blee@mail.com,1256476894,2023-02-26,400,Deliverd,2023,2,26,Sunday,February,True
NFC Proximity Card ,Radio-Frequency Identification Card,card.jpg,Card,VBN702,3e4a2606-7e78-4ece-b231-182a36c54495,500,150,Cardcom,cdcom@mail.com,1314732576,2023-09-16,500,Deliverd,2023,9,16,Saturday,September,True
DOCSIS 3.0 16x4 (CM1000),A High Speed Cable Modem,No Image Available,Modem,MKL926,af921b4d-4fc3-447c-b965-86edec0f1e3d,300,100,Netgear,Neger@mail.com,9256476541,2023-04-09,300,Deliverd,2023,4,9,Sunday,April,True
DOCSIS 3.1 Cable Modem (CM1000) ,A Nighthawk Multi-Gig Cable Modem,No Image Available,Modem,KHN839,2fd0199c-9050-49bf-8cc4-b7ddacceb242,400,75,Netgear,Neger@mail.com,9256476541,2023-09-10,400,Deliverd,2023,9,10,Sunday,September,True
DOCSIS 3.0 24x8 Cable Modem (CM1000),A NETGEAR High Speed 960Mbps Cable Modem,No Image Available,Modem,CMB359,cfcb06e0-06a2-436c-a015-2ac233824885,200,50,Netgear,Neger@mail.com,9256476542,2023-12-18,200,Deliverd,2023,12,18,Monday,December,True
BEL T6404 T Series Splitter Trough,Distribution Splitter Trough,splitter.jpg,Splitter,BGH685,1588c307-6d71-4a22-8af1-465f4c76d462,400,75,BELL,blee@mail.com,1256476895,2023-02-23,400,Deliverd,2023,2,23,Thursday,February,True
T4104 Bel Electrical Splitter,superior performance and durability. With a 125 amp capacity,splitter.jpg,Splitter,DSC429,c186287a-c4ad-4e60-98cb-d76c720d37d1,400,75,BELL,blee@mail.com,1256476896,2023-12-16,400,Deliverd,2023,12,16,Saturday,December,True
PCS Duplexer Rx (MHz),PCS Rx duplexer ,No Image Available,Multiplexer,DSC430,522c7557-49e6-4336-89c9-a2748e50ecae,200,50,Broadcom,brcom@mail.com,1759731674,2023-03-02,200,Deliverd,2023,3,2,Thursday,March,True
Cisco XR500,"Routing Protocols (BGP, OSPF)",No Image Available,Router,ISR-4331,750ed809-3733-44ac-ae74-6d3c6f590730,200,50,Cisco,abcd@mail.com,1234567890,2022-05-15,200,Deliverd,2022,5,15,Sunday,May,True
Cisco ISR-4331,Cisco Integrated Services Router 4331 ,No Image Available,Router,2960X-24PS-L,e61fb3a3-ce4d-4c77-8dda-a0cbf0712391,400,75,Cisco,abcd@mail.com,1234567890,2022-06-15,400,Deliverd,2022,6,15,Wednesday,June,True
Cisco Catalyst 2960X, Layer 2 Switch with 24 Ports,No Image Available,Switch,FS-1X2,133ce016-bd3f-4be7-9aa3-e7d4fce0e70b,400,75,HP,abhp@mail.com,1980762345,2022-06-15,400,Deliverd,2022,6,15,Wednesday,June,True
1x2 Fiber Splitter, Used for optical signal splitting,splitter.jpg,Splitter,TG3482G,525967c2-841a-4f08-ad1a-80cc214e4253,200,50,BELL,blee@mail.com,1234567890,2022-03-20,200,Deliverd,2022,3,20,Sunday,March,True
Arris DOCSIS 3.1 Cable Modem, Supports Gigabit Speed,No Image Available,Modem,OPC-2X2,cef63935-236c-4eab-89f2-b7673fc47088,300,75,Netgear,Neger@mail.com,9256476542,2022-08-10,300,Deliverd,2022,8,10,Wednesday,August,True
Optical Power Combiner,2x2 configuration for optical fibers,No Image Available,Combiner,VIC-4FXS/DID,5798d08c-8124-46d5-ba2f-17ab0829fdf7,400,75,Synergy,synerg@mail.com,7865434961,2022-11-01,400,Deliverd,2022,11,1,Tuesday,November,True
Ethernet Card,Cisco 8-Port Gigabit Ethernet Card for ISR Series,No Image Available,Card,STM-16,4a7ab7dc-5585-4b15-884f-b3e4c8db3650,400,75,Cardcom,cdcom@mail.com,1314732576,2022-02-05,400,Deliverd,2022,2,5,Saturday,February,True
Sonet Multiplexer,Aggregates voice and data channels,No Image Available,Multiplexer,MX960,b98391b5-c868-4613-b202-840d27ed3b06,200,50,Broadcom,brcom@mail.com,1759731674,2022-05-22,200,Deliverd,2022,5,22,Sunday,May,True
"Juniper MX960,", Core Router with 10GbE Ports,No Image Available,Router,JL358A,6af5ac68-e09f-486e-a691-3996da2c7547,200,50,Cisco,abcd@mail.com,1234567890,2022-01-10,200,Deliverd,2022,1,10,Monday,January,True
HP Aruba 2930F,"Managed Layer 3 Switch, 48 Ports",No Image Available,Switch,B2368-66,53b2d027-8949-4d9a-b7e7-b83e74fd59a9,400,75,HP,abhp@mail.com,1980762345,2022-07-18,400,Deliverd,2022,7,18,Monday,July,True
Huawei 5G CPE, Wireless Modem for High-Speed Internet,No Image Available,Modem,ISR-4451-X,ee3f182d-3c69-4d6b-803e-fa787cfd8d87,300,50,Netgear,Neger@mail.com,9256476542,2022-09-30,300,Deliverd,2022,9,30,Friday,September,True
Cisco ISR 4451-X, Enterprise-Class Router,No Image Available,Router,N9K-C93180YC-EX,b2832d49-5206-46a5-b7ee-922b7b92df42,400,75,Cisco ,support@cisco.com,1234567890,2022-05-12,400,Deliverd,2022,5,12,Thursday,May,True
Cisco Nexus 9000,Data Center Switch,No Image Available,Switch,FS-1X4,71b6d142-1284-4e28-ba3b-4580f598b6d6,200,50,Cisco ,support@cisco.com,1234567890,2022-07-15,200,Deliverd,2022,7,15,Friday,July,True
1x4 Optical Splitter, Used for optical signal splitting,No Image Available,Splitter,CM1200,0d984e4d-28ad-4dc9-a6be-ab0e0fa46d5a,300,75,FiberTech Inc.,info@fibertech.com,9875429902,2022-04-10,300,Deliverd,2022,4,10,Sunday,April,True
 DOCSIS 3.1,Netgear Nighthawk Cable Modem,No Image Available,Modem,OPC-2X4,f61b5da8-5a82-4317-b03b-99f495326be5,400,75,Netgear,sales@netgear.com,9256476541,2022-03-05,400,Deliverd,2022,3,5,Saturday,March,True
2x4 Optical Power Combiner,For Fiber Networks,No Image Available,Combiner,VIC-4FXS,18af39c9-b445-4145-b8b8-dfcb069d4c11,400,75,OptiFiber Co.,sales@optifiber.com,8944200472,2022-06-20,400,Deliverd,2022,6,20,Monday,June,True
Cisco 4-Port FXS Card,Cisco 4-Port FXS Card for ISR 4000 Series,card.jpg,Card,DWDM-40CH,3be58210-4025-403e-8d3a-08c70d7ff5f5,200,50,Cisco ,support@cisco.com,1234567890,2022-04-17,200,Deliverd,2022,4,17,Sunday,April,True
Division Multiplexer (DWDM),Dense Wavelength Division Multiplexer ,No Image Available,Multiplexer,AR2220,34a74ccc-0588-4e7f-a2a2-2c186e09f623,200,50,NexGen ,contact@nexgen.com,5690244343,2022-08-30,200,Deliverd,2022,8,30,Tuesday,August,True
Huawei AR2220,Enterprise Router for Branches,No Image Available,Router,EX4300-48P,ccf3261e-4bb7-45fb-be04-3db91cac2226,400,75,Huawei ,sales@huawei.com,7764334977,2022-10-10,400,Deliverd,2022,10,10,Monday,October,True
Juniper EX4300,48-Port Layer 3 Switch,No Image Available,Switch,TC-7610,c7bdffab-bbd7-484b-859c-406573ab8e3c,300,50,Juniper Networks,sales@juniper.net,8920323094,2022-03-11,300,Deliverd,2022,3,11,Friday,March,True
NetLink-X300,High-speed wireless router,No Image Available,Networking,SS24G1,56cf4fbf-f02e-44ac-8898-3efcd89cbc94,400,75,TechSupplies Inc.,contact@techsupplies.com,7892323545,2022-01-15,400,Deliverd,2022,1,15,Saturday,January,True
SwiftSwitch 24,24-port Gigabit Ethernet switch,No Image Available,Networking,FS4X100,c7a45640-fef4-4bfe-b006-5cc7c78d12a4,400,75,NetGear Pro,sales@netgearpro.com,9256476542,2022-01-20,400,Deliverd,2022,1,20,Thursday,January,True
FiberSplit-4X,Optical fiber splitter (1x4),No Image Available,Optical,SM1000D,28ff8806-ad81-4cd0-b289-b41f52e01586,200,50,OptiTech Co.,info@optitech.com,8920332194,2022-02-01,200,Deliverd,2022,2,1,Tuesday,February,True
SpeedModem-1000,High-speed DSL modem,No Image Available,Networking,RF8C200,fd2e9a6b-12ec-44d9-8512-08f927f9dd98,300,75,DataConnect Ltd.,orders@dataconnect.com,8976422194,2022-01-18,300,Deliverd,2022,1,18,Tuesday,January,True
RFCombiner-8CH,8-channel RF signal combiner,No Image Available,Rf Equipment,NC-P100,725448ae-8bde-42e2-8e76-96c7dc8a453a,400,75,RF Solutions,support@rfsolutions.com,9055323545,2022-01-25,400,Deliverd,2022,1,25,Tuesday,January,True
NetCard-P100,Network interface card with PCIe support,No Image Available,Components,MM32-400,e79ccc39-8e3a-4c7f-8108-40cf4cccb15a,400,75,CardHub Systems,cards@cardhub.com,8976422224,2022-02-05,400,Deliverd,2022,2,5,Saturday,February,True
MultiMux-32,32-channel multiplexer for signal routing,No Image Available,Optical,SRZ500,e9b40263-5242-4595-adb3-88c79d5e6402,200,50,SignalWorks Inc.,inquiries@signalworks.com,9055325545,2022-02-10,200,Deliverd,2022,2,10,Thursday,February,True
StreamRouter-Z500,Dual-band router with advanced firewall,No Image Available,Networking,PS48G3,ab5082a6-1517-42df-880b-d66772b35f63,200,50,TechSupplies Inc.,contact@techsupplies.com,7892323545,2023-02-15,200,Deliverd,2023,2,15,Wednesday,February,True
ProSwitch 48,48-port managed switch,No Image Available,Networking,FS8X150,4c6db6ce-51d6-4e26-9ffa-23f810e562f9,400,75,NetGear Pro,sales@netgearpro.com,9256476542,2022-01-30,400,Deliverd,2022,1,30,Sunday,January,True
FiberSplit-8X,Optical fiber splitter (1x8),No Image Available,Optical,SM1000E,69497354-fd0a-4de7-a0a2-2879ad763cd6,300,50,OptiTech Co.,info@optitech.com,8920332194,2022-02-12,300,Deliverd,2022,2,12,Saturday,February,True
Cisco ISR 1101-1,ISR 1101 4 Ports GE Ethernet WAN Router,No Image Available,Router,ROU-2060,346e44bc-313a-3de7-a0a2-3379ad763cd6,500,150,Cisco,abcd@mail.com,1234567890,2022-09-03,500,Deliverd,2022,9,3,Saturday,September,True
HP 5406zl-1,HP ProCurve Switch 5406zl,No Image Available,Switch,SPL-6936,aa204dba-b4df-4037-42c1-12c62e7bd05h,300,100,HP,abhp@mail.com,1980762345,2022-05-01,300,Deliverd,2022,5,1,Sunday,May,True
DOCSIS 3.1 Cable Modem-1,Superfast speeds up to 10 gigabits per second (Gbps),modem.jpg,Modem,CAR-4625,078807aa-fb9b-43ad-8d54-81ab843cfb6e,200,50,Netgear,Neger@mail.com,9256476541,2022-04-29,200,Deliverd,2022,4,29,Friday,April,True
Cellular Duplexer Rx-1,A multiplexer product that is RoHS6 compliant ,No Image Available,Multiplexer,COM-1426,d15ca878-480d-42c1-bd05-52a8b1ca849a,200,50,Broadcom,brcom@mail.com,1759731673,2022-07-31,200,Deliverd,2022,7,31,Sunday,July,True
SBB100 Splitter Trough Block-1, Splitter block  with copper-aluminium monopiece connector,splitter.jpg,Splitter,SWI-5860,4e3c2160-bbbc-4f62-9a9f-8aad0ff30b9f,400,75,BELL,blee@mail.com,1256476893,2022-06-26,400,Deliverd,2022,6,26,Sunday,June,True
Proximity Card-1,A contactless smart card ,card.jpg,Card,MUL-8863,2e37b889-7403-4d06-b3ff-12c62e73bdca,500,150,Cardcom,cdcom@mail.com,1314732575,2022-01-18,500,Deliverd,2022,1,18,Tuesday,January,True
DOCSIS 3.0 16x4 (CM500)-1,A High Speed Cable Modem,No Image Available,Modem,CAR-6941,a2bfe603-34e0-4d53-9ca6-120c8aaa7471,300,100,Netgear,Neger@mail.com,9256476541,2022-07-20,300,Deliverd,2022,7,20,Wednesday,July,True
DOCSIS 3.1 Cable Modem (CM1100) -1,A Nighthawk Multi-Gig Cable Modem,No Image Available,Modem,MOD-6166,f1da3db0-8212-4f8a-99df-ce25dde0033d,400,75,Netgear,Neger@mail.com,9256476541,2023-04-14,400,Deliverd,2023,4,14,Friday,April,True
